회사명,stock_code,2022년,2023년,2024년,E_value_등급,S_value_등급,G_value_등급,재무_value_등급,성장성_value_등급
삼양홀딩스,70,비플러스,비플러스,비플러스,비,에이,에이,에이,씨
유한양행,100,비플러스,에이,에이,비,에이,에이,에이,씨
CJ대한통운,120,비플러스,에이,에이,비,에이,에이,에이,비플러스
두산,150,비플러스,비플러스,비플러스,비,에이,에이,에이,씨
DL,210,에이,에이,에이,비플러스,디,비플러스,에이,씨
일동홀딩스,230,비플러스,에이,에이,비,씨,비,씨,디
노루홀딩스,320,에이,에이,에이,비플러스,디,비,비플러스,비
동아쏘시오홀딩스,640,에이,에이,에이,비,디,에이,비플러스,비
SK하이닉스,660,비플러스,에이,에이,비플러스,에이,에이플러스,에이플러스,에이
유수홀딩스,700,비플러스,비플러스,비플러스,비,씨,비플러스,씨,씨
현대건설,720,에이,에이,에이,비,에이,에이,에이,비플러스
한화,880,에이,비플러스,에이,비플러스,에이,에이,에이플러스,에이
CJ,1040,비플러스,에이,에이,비,씨,에이,에이,에이플러스
LX인터내셔널,1120,에이,비플러스,에이,비,에이,에이,에이,디
GS글로벌,1250,비플러스,비플러스,비플러스,비플러스,씨,비플러스,비플러스,에이
대한전선,1440,에이,에이,에이,비플러스,비플러스,비플러스,비플러스,비플러스
종근당홀딩스,1630,비플러스,비플러스,비플러스,비플러스,씨,씨,비플러스,씨
대상,1680,비플러스,에이,에이,비,에이,에이,에이,비플러스
SK네트웍스,1740,에이,에이,에이,비플러스,에이,에이,에이,에이
오리온홀딩스,1800,에이,에이,에이,비플러스,씨,비,에이,비
아세아,2030,비플러스,에이,에이,비플러스,디,비,에이,씨
한진,2320,비플러스,에이,에이,비,에이,에이,비플러스,씨
넥센타이어,2350,비플러스,비플러스,비플러스,비플러스,비플러스,에이,비플러스,비
한독,2390,비플러스,에이,에이,비,비플러스,비플러스,비,씨
TYM,2900,비플러스,비플러스,비플러스,비,에이,에이,비,비
대웅,3090,비플러스,비플러스,비플러스,비플러스,비,비,비플러스,씨
삼양식품,3230,비플러스,에이,에이,비,에이,에이,비플러스,비플러스
대한항공,3490,에이,에이,에이,비플러스,에이,에이플러스,에이,디
영진약품,3520,비플러스,비플러스,비플러스,비플러스,비플러스,비,씨,씨
LG,3550,에이,에이,에이,비플러스,비,에이,에이,디
포스코퓨처엠,3670,비플러스,에이,에이,비,에이,에이,에이,비
보령,3850,비플러스,비플러스,비플러스,비,에이,비플러스,비플러스,비
롯데정밀화학,4000,에이,에이플러스,에이,비플러스,비플러스,에이,비플러스,디
현대제철,4020,에이,에이,에이,비플러스,에이,에이,에이,디
한솔홀딩스,4150,에이,에이,에이,비플러스,씨,비플러스,비,씨
신세계,4170,에이,에이,에이,비,에이,에이,에이,씨
한솔테크닉스,4710,비플러스,비플러스,에이,비,비,비플러스,비플러스,비플러스
효성,4800,비플러스,에이,에이,비플러스,에이,에이,에이,디
롯데지주,4990,에이,에이,에이,비,비,에이,에이,비
SGC에너지,5090,비플러스,비플러스,비플러스,비,씨,비,에이,비플러스
빙그레,5180,에이,에이,에이,비,에이,비플러스,비플러스,에이
녹십자홀딩스,5250,비플러스,비플러스,비플러스,비플러스,씨,디,비플러스,씨
현대지에프홀딩스,5440,에이,에이,에이,비플러스,씨,비플러스,에이,디
POSCO홀딩스,5490,에이,에이플러스,에이,비,비플러스,에이,에이플러스,에이
넥센,5720,비플러스,비플러스,비플러스,비,비,비플러스,비플러스,비
에스엘,5850,비플러스,비플러스,비플러스,비,에이,비플러스,비플러스,에이
삼성전자,5930,에이,에이,에이,비플러스,에이플러스,에이플러스,에이플러스,에이
SK디스커버리,6120,에이,에이,에이,비플러스,디,에이,에이,디
녹십자,6280,비플러스,비플러스,비플러스,비플러스,에이,씨,비플러스,씨
GS건설,6360,에이,에이,에이,비플러스,에이플러스,에이,에이,디
한일현대시멘트,6390,비플러스,비플러스,비플러스,비,비,디,비,비
삼성SDI,6400,에이,에이,에이,비플러스,에이플러스,에이,에이,씨
AK홀딩스,6840,비플러스,에이,에이,비플러스,디,씨,에이,비
GS리테일,7070,에이,에이,에이,비,에이플러스,비플러스,에이,비플러스
서연,7860,비플러스,비플러스,비플러스,비,디,비플러스,비플러스,에이
대덕,8060,비플러스,비플러스,비플러스,비플러스,디,디,비,씨
호텔신라,8770,에이,에이,에이,비플러스,에이,에이,에이,비
한미사이언스,8930,비플러스,비플러스,에이,비플러스,비,비,비플러스,비플러스
삼성전기,9150,에이,에이,에이,비플러스,에이,에이,에이,디
한샘,9240,에이,에이,에이,비,에이,비플러스,비플러스,에이
HD한국조선해양,9540,비플러스,에이,에이,비,에이,비플러스,에이,비플러스
무림P&P,9580,비플러스,비플러스,비플러스,비,비플러스,비,비플러스,디
OCI홀딩스,10060,에이,에이,에이,비,씨,에이,에이,디
삼성중공업,10140,비플러스,에이,에이,비,에이,에이,에이,비플러스
HD현대미포,10620,비플러스,에이,에이,비,비플러스,비플러스,에이,씨
아이에스동서,10780,비플러스,비플러스,비플러스,비,비플러스,에이,에이,에이
LG이노텍,11070,에이,에이,에이,비플러스,에이,에이,에이,비플러스
롯데케미칼,11170,에이,비플러스,에이,비,에이,에이,에이,씨
HMM,11200,에이,에이,에이,비,에이,비플러스,에이,디
현대위아,11210,에이,에이플러스,에이,비플러스,에이,비플러스,에이,비플러스
SKC,11790,에이,에이플러스,에이,비플러스,비,에이,에이,디
현대모비스,12330,에이,에이,에이,비플러스,에이,에이,에이,에이플러스
한화에어로스페이스,12450,비플러스,에이,에이,비플러스,에이,에이,에이,비
에스원,12750,비플러스,비플러스,비플러스,비플러스,에이,비플러스,비플러스,비플러스
지누스,13890,비플러스,에이,에이,비,씨,비,비플러스,디
HL D&I,14790,비플러스,에이,에이,비,비플러스,에이,비,씨
한세예스24홀딩스,16450,비플러스,에이,에이,비플러스,씨,비플러스,비플러스,비플러스
SK텔레콤,17670,에이,에이,에이,비플러스,에이,에이,에이,씨
풀무원,17810,에이,에이,에이,비,비플러스,에이,비플러스,비플러스
E1,17940,비플러스,에이,에이,비,씨,비플러스,에이,에이
애경산업,18250,에이,에이,에이,비플러스,비플러스,비플러스,씨,에이
삼성에스디에스,18260,에이,에이,에이,비플러스,에이,에이,에이,씨
한온시스템,18880,에이,비플러스,에이,비,비플러스,에이,에이,비
한섬,20120,비플러스,에이,에이,비,비플러스,에이,비플러스,비플러스
코웨이,21320,비플러스,에이,에이,비,에이,에이,에이,비
롯데쇼핑,23590,에이,에이,에이,비플러스,에이,에이,에이,비플러스
콜마홀딩스,24890,비플러스,에이,에이,비,씨,에이,비,씨
BGF,27740,비플러스,에이,에이,비,디,씨,비,씨
