회사명,stock_code,2022년,2023년,2024년,L사회_등급,L환경_등급,L지배구조_등급,L성장성_등급,L재무구조_등급,업종명
고려제강,2240,D0,C0,B+,B+,B0,A0,B+,B0,철강금속
KG모빌리티,3620,0,D0,B+,B+,B+,A0,A0,A0,운수장비
삼천리,4690,C0,C0,B+,B0,A0,B+,A0,C0,전기가스업
벽산,7210,D0,C0,B+,B+,B+,B0,C0,A0,비금속광물
DN오토모티브,7340,C0,C0,B+,B+,A0,D0,A0,B0,전기전자
명신산업,9900,D0,D0,B+,B+,D0,D0,B+,A0,운수장비
지엠비코리아,13870,D0,D0,B+,B0,B0,B+,C0,A0,운수장비
성우하이텍,15750,0,D0,B+,B+,B+,B+,B+,B+,운송장비·부품
서울도시가스,17390,0,C0,B+,B+,B0,B+,B+,D0,전기가스업
아난티,25980,0,C0,B+,B0,A0,B0,B+,C0,숙박·음식
다우데이타,32190,0,C0,B+,B+,B0,D0,A0,D0,유통
롯데관광개발,32350,D0,D0,B+,B+,A0,B0,B0,D0,서비스업
파라다이스,34230,0,C0,B+,B+,A0,C0,B+,C0,서비스업
엘앤에프,66970,0,C0,B+,B+,B+,A0,A0,B+,전기전자
하나마이크론,67310,0,C0,B+,B+,B+,D0,B+,C0,일반전기전자
메가스터디교육,215200,0,C0,B+,B+,A0,B0,A0,B+,기타서비스
하이브,352820,C0,C0,B+,B+,B+,A0,A0,C0,서비스업
GS,78930,A0,B0,A0,B+,C0,A0,A0,D0,기타금융
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
