회사명,stock_code,2022년,2023년,2024년,E_value_등급,S_value_등급,G_value_등급,재무_value_등급,성장성_value_등급,업종명
고려제강,2240,D0,C0,B+,B+,B0,A0,B+,B0,철강금속
벽산,7210,D0,C0,B+,B+,B+,B0,C0,A0,비금속광물
명신산업,9900,D0,D0,B+,B+,D0,D0,B+,A0,운수장비
지엠비코리아,13870,D0,D0,B+,B0,B0,B+,C0,A0,운수장비
세아특수강,19440,D0,A0,A0,B+,C0,C0,B0,A0,철강금속
롯데관광개발,32500,D0,D0,B+,B+,A0,B0,B0,D0,일반전기전자
남양유업,3920,C0,B0,B+,B0,A0,B0,B0,B+,음식료품
삼천리,4690,C0,C0,B+,B0,A0,B+,A0,C0,전기가스업
성신양회,4980,C0,B0,B+,B+,B0,B0,B+,A0,비금속광물
DN오토모티브,7340,C0,C0,B+,B+,A0,D0,A0,B0,전기전자
경동나비엔,9450,C0,B0,B+,B+,A0,A0,B+,B+,전기전자
SNT홀딩스,36530,C0,B0,B+,B+,D0,D0,B+,B0,기타금융
하이브,352820,C0,C0,B+,B+,B+,A0,A0,C0,서비스업
JW중외제약,1060,C0,B+,B+,B0,A0,B+,B0,B+,의약품
코오롱,2020,C0,B+,A0,B+,C0,B+,A0,B+,기타금융
부광약품,3000,C0,B+,B+,B0,B+,B0,C0,D0,의약품
세방,4360,C0,B+,B+,B0,B0,A0,B0,C0,운수창고업
농심,4370,C0,B+,A0,B+,A0,A0,B+,B+,음식료품
깨끗한나라,4540,C0,B+,B+,B+,B+,D0,C0,C0,종이목재
DRB동일,4840,C0,B+,B+,B+,C0,B0,B0,B+,화학
한국공항,5430,C0,B+,B+,B+,B+,C0,C0,A0,운수창고업
동부건설,5960,C0,B+,B+,B+,B+,B0,B+,D0,건설업
동원산업,6040,C0,B+,A0,B0,A0,A0,A0,A0,기타금융
대한유화,6650,C0,B+,B+,B0,B0,A0,B+,B+,화학
오뚜기,7310,C0,B+,A0,B+,A0,A0,A0,B+,음식료품
영원무역홀딩스,9970,C0,B+,A0,B+,C0,B+,A0,C0,기타금융
화신,10690,C0,B+,B+,B0,B+,B+,B+,A0,운수장비
HDC,12630,C0,B+,B+,B+,D0,B+,A0,C0,기타금융
웅진,16880,C0,B+,A0,B0,B+,B0,B0,B0,서비스업
다우기술,23590,C0,B+,B+,B+,A0,B+,A0,C0,서비스업
SBS,34120,C0,B+,B+,B0,B+,B+,B+,D0,서비스업
한국항공우주,47810,C0,B+,A0,B0,A0,A0,A0,C0,운수장비
세아홀딩스,58650,C0,B+,B+,B0,C0,B0,A0,B+,철강금속
농심홀딩스,72710,C0,B+,B+,B+,D0,B0,B+,C0,기타금융
HDC현대EP,89470,C0,B+,A0,B+,B0,D0,B0,A0,화학
한세실업,105630,C0,B+,A0,B+,B+,B+,B+,B+,섬유의복
선진,136490,C0,B+,B+,B0,B0,B+,B+,A0,음식료품
아세아시멘트,183190,C0,B+,B+,B0,C0,C0,B+,C0,비금속광물
JW생명과학,234080,C0,B+,B+,B+,C0,B0,C0,C0,의약품
HDC현대산업개발,294870,C0,B+,B+,B0,A0,A0,A0,D0,건설업
세아베스틸지주,1430,C0,A0,A0,B+,C0,A0,A0,D0,철강금속
한일홀딩스,3300,C0,A0,A0,B+,D0,C0,B+,C0,비금속광물
LS,6260,C0,A0,A0,B+,C0,A0,A0,B+,기타금융
씨에스윈드,112610,C0,A0,A0,B+,C0,B0,A0,C0,기계
한일시멘트,300720,C0,A0,A0,B0,B0,B0,B+,B+,비금속광물
