회사명,stock_code,2022년,2023년,2024년,E_value_등급,S_value_등급,G_value_등급,재무_value_등급,성장성_value_등급,업종명
삼양홀딩스,70,B+,B+,B+,B0,A0,A0,A0,C0,기타금융
유한양행,100,B+,A0,A0,B0,A0,A0,A0,C0,의약품
CJ대한통운,120,B+,A0,A0,B0,A0,A0,A0,B+,운수창고업
두산,150,B+,B+,B+,B0,A0,A0,A0,C0,기타금융
DL,210,A0,A0,A0,B+,D0,B+,A0,C0,화학
일동홀딩스,230,B+,A0,A0,B0,C0,B0,C0,D0,의약품
노루홀딩스,320,A0,A0,A0,B+,D0,B0,B+,B0,기타금융
동아쏘시오홀딩스,640,A0,A0,A0,B0,D0,A0,B+,B0,기타금융
SK하이닉스,660,B+,A0,A0,B+,A0,A+,A+,A0,전기전자
유수홀딩스,700,B+,B+,B+,B0,C0,B+,C0,C0,서비스업
현대건설,720,A0,A0,A0,B0,A0,A0,A0,B+,건설업
한화,880,A0,B+,A0,B+,A0,A0,A+,A0,화학
CJ,1040,B+,A0,A0,B0,C0,A0,A0,A+,기타금융
LX인터내셔널,1120,A0,B+,A0,B0,A0,A0,A0,D0,유통업
GS글로벌,1250,B+,B+,B+,B+,C0,B+,B+,A0,유통업
대한전선,1440,A0,A0,A0,B+,B+,B+,B+,B+,전기전자
종근당홀딩스,1630,B+,B+,B+,B+,C0,C0,B+,C0,의약품
대상,1680,B+,A0,A0,B0,A0,A0,A0,B+,음식료품
SK네트웍스,1740,A0,A0,A0,B+,A0,A0,A0,A0,유통업
오리온홀딩스,1800,A0,A0,A0,B+,C0,B0,A0,B0,기타금융
아세아,2030,B+,A0,A0,B+,D0,B0,A0,C0,서비스업
한진,2320,B+,A0,A0,B0,A0,A0,B+,C0,운수창고업
넥센타이어,2350,B+,B+,B+,B+,B+,A0,B+,B0,화학
한독,2390,B+,A0,A0,B0,B+,B+,B0,C0,의약품
TYM,2900,B+,B+,B+,B0,A0,A0,B0,B0,기계
대웅,3090,B+,B+,B+,B+,B0,B0,B+,C0,의약품
삼양식품,3230,B+,A0,A0,B0,A0,A0,B+,B+,음식료품
대한항공,3490,A0,A0,A0,B+,A0,A+,A0,D0,운수창고업
영진약품,3520,B+,B+,B+,B+,B+,B0,C0,C0,의약품
LG,3550,A0,A0,A0,B+,B0,A0,A0,D0,기타금융
포스코퓨처엠,3670,B+,A0,A0,B0,A0,A0,A0,B0,전기전자
보령,3850,B+,B+,B+,B0,A0,B+,B+,B0,의약품
롯데정밀화학,4000,A0,A+,A0,B+,B+,A0,B+,D0,화학
현대제철,4020,A0,A0,A0,B+,A0,A0,A0,D0,철강금속
한솔홀딩스,4150,A0,A0,A0,B+,C0,B+,B0,C0,기타금융
신세계,4170,A0,A0,A0,B0,A0,A0,A0,C0,유통업
한솔테크닉스,4710,B+,B+,A0,B0,B0,B+,B+,B+,전기전자
효성,4800,B+,A0,A0,B+,A0,A0,A0,D0,기타금융
롯데지주,4990,A0,A0,A0,B0,B0,A0,A0,B0,기타금융
SGC에너지,5090,B+,B+,B+,B0,C0,B0,A0,B+,전기가스업
빙그레,5180,A0,A0,A0,B0,A0,B+,B+,A0,음식료품
녹십자홀딩스,5250,B+,B+,B+,B+,C0,D0,B+,C0,서비스업
현대지에프홀딩스,5440,A0,A0,A0,B+,C0,B+,A0,D0,기타금융
POSCO홀딩스,5490,A0,A+,A0,B0,B+,A0,A+,A0,철강금속
넥센,5720,B+,B+,B+,B0,B0,B+,B+,B0,화학
에스엘,5850,B+,B+,B+,B0,A0,B+,B+,A0,운수장비
삼성전자,5930,A0,A0,A0,B+,A+,A+,A+,A0,전기전자
SK디스커버리,6120,A0,A0,A0,B+,D0,A0,A0,D0,기타금융
녹십자,6280,B+,B+,B+,B+,A0,C0,B+,C0,의약품
GS건설,6360,A0,A0,A0,B+,A+,A0,A0,D0,건설업
한일현대시멘트,6390,B+,B+,B+,B0,B0,D0,B0,B0,비금속광물
삼성SDI,6400,A0,A0,A0,B+,A+,A0,A0,C0,전기전자
AK홀딩스,6840,B+,A0,A0,B+,D0,C0,A0,B0,기타금융
GS리테일,7070,A0,A0,A0,B0,A+,B+,A0,B+,유통업
서연,7860,B+,B+,B+,B0,D0,B+,B+,A0,기타금융
대덕,8060,B+,B+,B+,B+,D0,D0,B0,C0,기타금융
호텔신라,8770,A0,A0,A0,B+,A0,A0,A0,B0,유통업
한미사이언스,8930,B+,B+,A0,B+,B0,B0,B+,B+,기타금융
삼성전기,9150,A0,A0,A0,B+,A0,A0,A0,D0,전기전자
한샘,9240,A0,A0,A0,B0,A0,B+,B+,A0,유통업
HD한국조선해양,9540,B+,A0,A0,B0,A0,B+,A0,B+,기타금융
무림P&P,9580,B+,B+,B+,B0,B+,B0,B+,D0,종이목재
OCI홀딩스,10060,A0,A0,A0,B0,C0,A0,A0,D0,기타금융
삼성중공업,10140,B+,A0,A0,B0,A0,A0,A0,B+,운수장비
HD현대미포,10620,B+,A0,A0,B0,B+,B+,A0,C0,운수장비
아이에스동서,10780,B+,B+,B+,B0,B+,A0,A0,A0,비금속광물
LG이노텍,11070,A0,A0,A0,B+,A0,A0,A0,B+,전기전자
롯데케미칼,11170,A0,B+,A0,B0,A0,A0,A0,C0,화학
HMM,11200,A0,A0,A0,B0,A0,B+,A0,D0,운수창고업
현대위아,11210,A0,A+,A0,B+,A0,B+,A0,B+,운수장비
SKC,11790,A0,A+,A0,B+,B0,A0,A0,D0,화학
현대모비스,12330,A0,A0,A0,B+,A0,A0,A0,A+,운수장비
한화에어로스페이스,12450,B+,A0,A0,B+,A0,A0,A0,B0,운수장비
에스원,12750,B+,B+,B+,B+,A0,B+,B+,B+,서비스업
지누스,13890,B+,A0,A0,B0,C0,B0,B+,D0,기타제조업
HL D&I,14790,B+,A0,A0,B0,B+,A0,B0,C0,건설업
한세예스24홀딩스,16450,B+,A0,A0,B+,C0,B+,B+,B+,섬유의복
SK텔레콤,17670,A0,A0,A0,B+,A0,A0,A0,C0,통신업
풀무원,17810,A0,A0,A0,B0,B+,A0,B+,B+,음식료품
E1,17940,B+,A0,A0,B0,C0,B+,A0,A0,유통업
애경산업,18250,A0,A0,A0,B+,B+,B+,C0,A0,화학
삼성에스디에스,18260,A0,A0,A0,B+,A0,A0,A0,C0,서비스업
한온시스템,18880,A0,B+,A0,B0,B+,A0,A0,B0,기계
한섬,20120,B+,A0,A0,B0,B+,A0,B+,B+,서비스업
코웨이,21320,B+,A0,A0,B0,A0,A0,A0,B0,건설
롯데쇼핑,23590,A0,A0,A0,B+,A0,A0,A0,B+,서비스업
콜마홀딩스,24890,B+,A0,A0,B0,C0,A0,B0,C0,화학
BGF,27740,B+,A0,A0,B0,D0,C0,B0,C0,음식료품
삼성E&A,28100,A0,A0,A0,B+,A0,A0,A0,A0,건설업
삼성물산,28300,A0,A+,A0,B+,A0,A0,A+,A0,제약
