years,회사명,stock_code,전년도ESG,종합등급,매출액,영업이익,영업이익(발표기준),당기순이익,지배주주순이익,비지배주주순이익,자산총계,부채총계,자본총계,지배주주지분,비지배주주지분,자본금,부채비율,유보율,영업이익률,지배주주순이익률,ROA,ROE,EPS(원),BPS(원),DPS(원),PBR,발행주식수,배당수익률,지속가능경영 보고서공시여부,매출액_상승률(퍼센트),영업이익_상승률,배당수익률_상승률,영업이익률_상승률,이사의 수,사외이사 수,사외이사 비율,녹색 기업 지정,총 임원 수,여성 임원 수 ,여성 임원 비율,남성 평균 연봉,여성 평균 연봉,남성 정규직 수,여성 정규직 수,남성 직원 수,여성 직원 수,직원 수,여성 직원 비율,남성 직원 비율,남성 정규직 비율,여성 정규직 비율,외국인 보유수량,외국인 지분율,시가총액,상장주식수,용수 사용량 등급,에너지 총량 등급,온실가스 배출총량 등급,RE100,high_carbon,sbti,자본비율,기업분류,장애인근로자수,장애인고용률,E_환경등급,S_사회등급,G_지배구조등급,재무구조 등급,성장성 등급,업종명,E_value_등급,S_value_등급,G_value_등급,재무_value_등급,성장성_value_등급
2019,동화약품,20,없음,B0,3072,96,96,91,91,0,3764,766,2997,2997,0,279,25.57,982.04,3.125,2.97,2.44,3.05,326,10820,120,0.77,27931,1.44,0,0,-93,0,0,,,,0,21,2,9.523809524,,,,,,,,,,,,,,232000000000,27931470,5,5,5,,0,0,0.796227418,5,,,,,,,,헬스케어,,,,,
2020,동화약품,20,B0,B0,2721,232,232,287,285,2,4338,911,3427,3313,114,279,26.59,1094.99,8.526277104,10.48,7.09,9.04,1021,11950,180,1.64,27931,0.92,0,-11.42578125,136,-0.52,5.401277104,8,3,0.375,0,20,3,15,70213000,56095000,534,190,544,195,739,26.38700947,73.61299053,0.981617647,0.974358974,868919,3.11,549000000000,27931470,5,5,5,,0,0,0.78999539,5,,,-1.512055,1.907623703,0.762863771,1.80860058,0.028585543,헬스케어,b,b+,c,c,c
2021,동화약품,20,B0,C0,2930,225,225,196,179,17,4478,877,3601,3469,132,279,24.34,1149.13,7.679180887,6.1,4.44,5.27,640,12491,180,1.17,27931,1.23,0,7.680999632,-7,0.31,-0.847096217,4,3,0.75,0,22,3,13.63636364,72763000,57792000,525,192,535,197,732,26.91256831,73.08743169,0.981308411,0.974619289,658091,2.36,408000000000,27931470,5,5,5,,0,0,0.80415364,5,,,-1.512055,1.917345453,0.884210588,1.606126369,0.028232082,헬스케어,b,b+,b,c,c
2022,동화약품,20,C0,C0,3404,299,299,216,204,12,4611,825,3787,3644,143,279,21.78,1211.66,8.783783784,5.99,4.75,5.73,730,13117,180,0.71,27931,1.94,0,16.1774744,74,0.71,1.104602896,5,3,0.6,0,21,4,19.04761905,74000000,55000000,538,219,550,226,776,29.12371134,70.87628866,0.978181818,0.969026549,1172582,4.2,259000000000,27931470,5,5,5,,0,0,0.821296899,5,,,-1.512055,1.914745914,0.906279017,1.414488512,0.028532738,헬스케어,b,b+,b,c,c
2023,동화약품,20,C0,B0 이하(자격없음),3611,188,188,282,274,8,5650,1579,4071,3718,353,279,38.79,1237,5.20631404,7.6,5.5,7.45,982,13370,180,0.77,27931,1.75,1,6.081081081,-111,-0.19,-3.577469743,4,3,0.75,0,20,4,20,66000000,54000000,586,222,599,227,826,27.48184019,72.51815981,0.978297162,0.977973568,1273973,4.56,287000000000,27931470,5,5,5,,0,0,0.720530973,4,,,-1.512055,1.982998363,0.888666906,1.627199453,0.028333147,헬스케어,b,b+,b,c,c
2019,KR모터스,40,없음,C0,1326,-247,-247,-410,-405,-6,1441,1089,352,185,167,947,309.21,-86.23,-18.62745098,-30.53,-27.45,-113.29,-2112,968,0,3.38,19163,0,0,0,-93,0,0,,,,0,9,0,0,,,,,,,,,,,,,,52854896925,189444075,5,5,5,,1,0,0.244274809,5,,,,,,,,운수,,,,,
2020,KR모터스,40,C0,C0,1178,12,12,-115,-81,-34,1559,1060,498,363,135,458,212.72,-35.01,1.018675722,-6.9,-7.66,-29.64,-294,1120,0,2.92,32448,0,0,-11.16138763,259,0,19.6461267,1,1,1,0,8,0,0,74019000,20162000,58,4,58,4,62,6.451612903,93.5483871,1,1,42265375,46.11,104000000000,91661018,5,5,5,,1,0,0.319435536,5,,,-1.512055,-0.088401465,0.524621886,0.717458764,0.028124792,운수,b,d,c,d,c
2021,KR모터스,40,C0,D0,1335,-27,-27,-119,-95,-25,1684,1182,502,370,132,481,235.36,-43.26,-2.02247191,-7.09,-7.35,-25.82,-278,1088,0,2.3,34033,0,0,13.32767402,-39,0,-3.041147632,5,2,0.4,0,6,0,0,40639000,22303000,46,6,46,6,52,11.53846154,88.46153846,1,1,44408662,46.19,83158823320,96137368,5,5,5,,1,0,0.298099762,5,,,-1.512055,-0.090577665,0.608714191,0.72151269,0.028138347,운수,b,d,c,d,c
2022,KR모터스,40,D0,D0,1171,-62,-62,-130,-67,-63,1492,1092,400,331,69,481,272.74,-56.63,-5.294619983,-5.71,-8.19,-19.06,-196,974,0,1.66,34033,0,0,-12.28464419,-35,0,-3.272148073,4,2,0.5,0,6,0,0,38165000,35035000,47,5,47,5,52,9.615384615,90.38461538,1,1,43613172,45.36,53837540400,96138465,5,5,5,,1,0,0.268096515,5,,,-1.512055,-0.089979622,0.789255628,0.725968623,0.027974735,운수,b,d,b,d,c
2023,KR모터스,40,D0,B0 이하(자격없음),784,-179,-179,-210,-159,-51,1386,1162,224,206,19,481,518.49,-90.07,-22.83163265,-20.29,-14.61,-59.28,-467,604,0,1.71,34033,0,1,-33.04867635,-117,0,-17.53701267,5,2,0.4,0,5,0,0,39333000,28969000,49,5,49,5,54,9.259259259,90.74074074,1,1,44850272,46.65,34417570470,96138465,5,5,5,,1,0,0.161616162,5,,,-1.512055,0.206084811,1.018277294,0.725145143,0.027602254,운수,b,d,b+,d,d
